Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote, 2021,2021_lower, 2021_upper, 2021_Footnote, 2022,2022_lower, 2022_upper, 2022_Footnote, 2023,2023_lower, 2023_upper, 2023_Footnote, 2024,2024_lower, 2024_upper, 2024_Footnote
Mozambique,49 000 ,34 000 , 67 000,,63 000 ,46 000 , 83 000,,79 000 ,61 000 , 100 000,,100 000 ,81 000 , 130 000,,130 000 ,110 000 , 160 000,,160 000 ,130 000 , 200 000,,190 000 ,160 000 , 230 000,,220 000 ,190 000 , 270 000,,250 000 ,220 000 , 300 000,,280 000 ,250 000 , 330 000,,310 000 ,280 000 , 370 000,,340 000 ,310 000 , 400 000,,370 000 ,330 000 , 430 000,,390 000 ,350 000 , 450 000,,410 000 ,370 000 , 470 000,,430 000 ,390 000 , 490 000,,450 000 ,410 000 , 510 000,,470 000 ,430 000 , 530 000,,490 000 ,450 000 , 560 000,,510 000 ,470 000 , 570 000,,540 000 ,500 000 , 600 000,,560 000 ,520 000 , 620 000,,590 000 ,550 000 , 640 000,,610 000 ,570 000 , 670 000,,640 000 ,590 000 , 700 000,,660 000 ,620 000 , 720 000,,680 000 ,640 000 , 740 000,,700 000 ,660 000 , 760 000,,720 000 ,680 000 , 780 000,,740 000 ,690 000 , 800 000,,750 000 ,700 000 , 820 000,,770 000 ,710 000 , 830 000,,780 000 ,720 000 , 840 000,,790 000 ,730 000 , 860 000,,800 000 ,730 000 , 880 000,
Myanmar,15 000 ,13 000 , 17 000,,31 000 ,26 000 , 35 000,,45 000 ,38 000 , 52 000,,55 000 ,47 000 , 63 000,,63 000 ,54 000 , 72 000,,71 000 ,61 000 , 80 000,,78 000 ,68 000 , 89 000,,86 000 ,75 000 , 98 000,,96 000 ,83 000 , 110 000,,110 000 ,93 000 , 120 000,,120 000 ,100 000 , 130 000,,120 000 ,110 000 , 140 000,,130 000 ,120 000 , 140 000,,130 000 ,120 000 , 150 000,,140 000 ,120 000 , 150 000,,140 000 ,130 000 , 160 000,,140 000 ,130 000 , 160 000,,140 000 ,130 000 , 160 000,,140 000 ,130 000 , 160 000,,140 000 ,130 000 , 160 000,,140 000 ,130 000 , 160 000,,140 000 ,130 000 , 160 000,,150 000 ,130 000 , 160 000,,150 000 ,130 000 , 160 000,,150 000 ,130 000 , 170 000,,150 000 ,130 000 , 170 000,,150 000 ,130 000 , 170 000,,150 000 ,130 000 , 180 000,,150 000 ,130 000 , 190 000,,160 000 ,130 000 , 190 000,,160 000 ,120 000 , 200 000,,160 000 ,120 000 , 200 000,,160 000 ,120 000 , 210 000,,160 000 ,110 000 , 220 000,,170 000 ,110 000 , 230 000,
Namibia,6500 ,5500 , 7700,,9200 ,7800 , 11 000,,13 000 ,11 000 , 15 000,,17 000 ,15 000 , 20 000,,22 000 ,20 000 , 25 000,,28 000 ,25 000 , 32 000,,34 000 ,31 000 , 38 000,,40 000 ,36 000 , 44 000,,44 000 ,40 000 , 50 000,,49 000 ,44 000 , 54 000,,52 000 ,48 000 , 58 000,,54 000 ,50 000 , 60 000,,56 000 ,51 000 , 62 000,,57 000 ,52 000 , 63 000,,58 000 ,53 000 , 63 000,,59 000 ,54 000 , 64 000,,59 000 ,55 000 , 65 000,,61 000 ,56 000 , 67 000,,62 000 ,57 000 , 69 000,,64 000 ,59 000 , 70 000,,65 000 ,60 000 , 72 000,,67 000 ,61 000 , 74 000,,69 000 ,63 000 , 76 000,,70 000 ,64 000 , 78 000,,71 000 ,66 000 , 79 000,,73 000 ,67 000 , 81 000,,74 000 ,68 000 , 82 000,,74 000 ,68 000 , 83 000,,75 000 ,69 000 , 84 000,,75 000 ,69 000 , 84 000,,75 000 ,69 000 , 84 000,,75 000 ,69 000 , 84 000,,75 000 ,69 000 , 84 000,,75 000 ,69 000 , 85 000,,75 000 ,69 000 , 85 000,
Nepal,<100 ,<100 , <100,,<100 ,<100 , <100,,<200 ,<200 , <200,,<500 ,<500 , <500,,790 ,680 , 880,,1600 ,1400 , 1800,,3100 ,2800 , 3500,,5900 ,5200 , 6700,,9800 ,8600 , 11 000,,14 000 ,12 000 , 16 000,,18 000 ,16 000 , 21 000,,21 000 ,19 000 , 24 000,,24 000 ,21 000 , 27 000,,26 000 ,23 000 , 29 000,,28 000 ,24 000 , 31 000,,29 000 ,25 000 , 32 000,,29 000 ,26 000 , 32 000,,29 000 ,26 000 , 32 000,,29 000 ,26 000 , 32 000,,28 000 ,25 000 , 31 000,,27 000 ,25 000 , 30 000,,27 000 ,24 000 , 29 000,,26 000 ,23 000 , 28 000,,25 000 ,22 000 , 27 000,,24 000 ,22 000 , 26 000,,23 000 ,21 000 , 25 000,,22 000 ,20 000 , 24 000,,22 000 ,20 000 , 24 000,,21 000 ,19 000 , 23 000,,21 000 ,19 000 , 22 000,,20 000 ,18 000 , 22 000,,20 000 ,18 000 , 22 000,,20 000 ,18 000 , 22 000,,19 000 ,17 000 , 21 000,,19 000 ,17 000 , 21 000,
Netherlands,5900 ,4900 , 6900,,5900 ,4900 , 6900,,5900 ,4800 , 6900,,5900 ,4900 , 6900,,5900 ,4900 , 6900,,6000 ,5000 , 6900,,6200 ,5400 , 7100,,6800 ,5900 , 7600,,7400 ,6400 , 8300,,8000 ,7000 , 9000,,8600 ,7600 , 9700,,9300 ,8100 , 10 000,,9900 ,8700 , 11 000,,11 000 ,9400 , 12 000,,11 000 ,10 000 , 13 000,,12 000 ,11 000 , 13 000,,13 000 ,11 000 , 14 000,,14 000 ,12 000 , 15 000,,14 000 ,13 000 , 16 000,,15 000 ,14 000 , 17 000,,16 000 ,14 000 , 17 000,,16 000 ,15 000 , 18 000,,17 000 ,15 000 , 19 000,,17 000 ,16 000 , 19 000,,18 000 ,16 000 , 20 000,,18 000 ,16 000 , 20 000,,18 000 ,17 000 , 20 000,,19 000 ,17 000 , 21 000,,19 000 ,17 000 , 21 000,,19 000 ,17 000 , 22 000,,20 000 ,17 000 , 22 000,,20 000 ,18 000 , 22 000,,20 000 ,18 000 , 23 000,,21 000 ,18 000 , 23 000,,... ,... , ...,
New Zealand,710 ,580 , 860,"Children estimates were not available at the time of publication.",760 ,620 , 890,"Children estimates were not available at the time of publication.",780 ,640 , 900,"Children estimates were not available at the time of publication.",790 ,660 , 910,"Children estimates were not available at the time of publication.",800 ,670 , 930,"Children estimates were not available at the time of publication.",830 ,710 , 960,"Children estimates were not available at the time of publication.",890 ,760 , 1000,"Children estimates were not available at the time of publication.",940 ,800 , 1100,"Children estimates were not available at the time of publication.",990 ,850 , 1100,"Children estimates were not available at the time of publication.",1000 ,890 , 1200,"Children estimates were not available at the time of publication.",1100 ,930 , 1200,"Children estimates were not available at the time of publication.",1200 ,990 , 1300,"Children estimates were not available at the time of publication.",1200 ,1100 , 1400,"Children estimates were not available at the time of publication.",1300 ,1100 , 1500,"Children estimates were not available at the time of publication.",1400 ,1200 , 1600,"Children estimates were not available at the time of publication.",1500 ,1300 , 1800,"Children estimates were not available at the time of publication.",1600 ,1400 , 1900,"Children estimates were not available at the time of publication.",1800 ,1400 , 2000,"Children estimates were not available at the time of publication.",1900 ,1500 , 2200,"Children estimates were not available at the time of publication.",2000 ,1600 , 2300,"Children estimates were not available at the time of publication.",2100 ,1700 , 2400,"Children estimates were not available at the time of publication.",2200 ,1700 , 2500,"Children estimates were not available at the time of publication.",2300 ,1800 , 2600,"Children estimates were not available at the time of publication.",2400 ,1900 , 2700,"Children estimates were not available at the time of publication.",2500 ,2000 , 2800,"Children estimates were not available at the time of publication.",2600 ,2100 , 3000,"Children estimates were not available at the time of publication.",2800 ,2300 , 3200,"Children estimates were not available at the time of publication.",2900 ,2400 , 3300,"Children estimates were not available at the time of publication.",3000 ,2400 , 3400,"Children estimates were not available at the time of publication.",3100 ,2500 , 3500,"Children estimates were not available at the time of publication.",3200 ,2600 , 3600,"Children estimates were not available at the time of publication.",3200 ,2600 , 3700,"Children estimates were not available at the time of publication.",3200 ,2600 , 3800,"Children estimates were not available at the time of publication.",3300 ,2700 , 3800,"Children estimates were not available at the time of publication.",3400 ,2800 , 4000,"Children estimates were not available at the time of publication."
Nicaragua,... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication.",... ,... , ...,"Estimates were not available at the time of publication."
Niger,5700 ,4000 , 7800,,8000 ,5900 , 11 000,,10 000 ,7800 , 13 000,,13 000 ,9700 , 16 000,,15 000 ,12 000 , 18 000,,17 000 ,14 000 , 20 000,,19 000 ,15 000 , 22 000,,20 000 ,16 000 , 23 000,,21 000 ,17 000 , 24 000,,21 000 ,18 000 , 24 000,,21 000 ,18 000 , 24 000,,21 000 ,18 000 , 24 000,,21 000 ,18 000 , 24 000,,20 000 ,17 000 , 23 000,,20 000 ,17 000 , 23 000,,19 000 ,17 000 , 22 000,,19 000 ,16 000 , 21 000,,18 000 ,16 000 , 20 000,,17 000 ,15 000 , 20 000,,17 000 ,15 000 , 19 000,,16 000 ,14 000 , 19 000,,16 000 ,14 000 , 18 000,,16 000 ,14 000 , 18 000,,15 000 ,14 000 , 17 000,,15 000 ,13 000 , 17 000,,14 000 ,13 000 , 16 000,,14 000 ,12 000 , 15 000,,13 000 ,12 000 , 15 000,,13 000 ,12 000 , 15 000,,13 000 ,12 000 , 15 000,,13 000 ,11 000 , 14 000,,13 000 ,11 000 , 14 000,,13 000 ,11 000 , 14 000,,12 000 ,11 000 , 14 000,,12 000 ,11 000 , 14 000,
Nigeria,210 000 ,170 000 , 260 000,,260 000 ,210 000 , 310 000,,300 000 ,250 000 , 370 000,,350 000 ,300 000 , 430 000,,400 000 ,350 000 , 480 000,,450 000 ,390 000 , 540 000,,500 000 ,430 000 , 590 000,,540 000 ,470 000 , 630 000,,570 000 ,500 000 , 670 000,,600 000 ,530 000 , 690 000,,620 000 ,550 000 , 710 000,,640 000 ,570 000 , 730 000,,650 000 ,580 000 , 740 000,,660 000 ,590 000 , 750 000,,660 000 ,600 000 , 750 000,,670 000 ,610 000 , 760 000,,680 000 ,620 000 , 760 000,,680 000 ,630 000 , 770 000,,690 000 ,640 000 , 780 000,,710 000 ,650 000 , 790 000,,710 000 ,660 000 , 800 000,,720 000 ,660 000 , 810 000,,720 000 ,660 000 , 800 000,,720 000 ,660 000 , 800 000,,710 000 ,660 000 , 800 000,,710 000 ,650 000 , 790 000,,710 000 ,650 000 , 790 000,,700 000 ,650 000 , 780 000,,690 000 ,640 000 , 770 000,,680 000 ,630 000 , 760 000,,670 000 ,620 000 , 750 000,,670 000 ,610 000 , 740 000,,660 000 ,610 000 , 730 000,,660 000 ,600 000 , 730 000,,650 000 ,590 000 , 720 000,
North Macedonia,<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <100,"Children estimates were not available at the time of publication.",<100 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<100 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <200,"Children estimates were not available at the time of publication.",<200 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<200 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , <500,"Children estimates were not available at the time of publication.",<500 ,<500 , 510,"Children estimates were not available at the time of publication.",<500 ,<500 , 560,"Children estimates were not available at the time of publication.",510 ,<500 , 610,"Children estimates were not available at the time of publication.",550 ,<500 , 670,"Children estimates were not available at the time of publication.",600 ,<500 , 730,"Children estimates were not available at the time of publication.",640 ,520 , 780,"Children estimates were not available at the time of publication.",680 ,540 , 830,"Children estimates were not available at the time of publication."
Norway,660 ,540 , 800,"Children estimates were not available at the time of publication.",700 ,570 , 830,"Children estimates were not available at the time of publication.",730 ,590 , 870,"Children estimates were not available at the time of publication.",750 ,610 , 880,"Children estimates were not available at the time of publication.",760 ,610 , 890,"Children estimates were not available at the time of publication.",760 ,610 , 900,"Children estimates were not available at the time of publication.",780 ,630 , 920,"Children estimates were not available at the time of publication.",830 ,670 , 960,"Children estimates were not available at the time of publication.",890 ,720 , 1000,"Children estimates were not available at the time of publication.",970 ,800 , 1100,"Children estimates were not available at the time of publication.",1100 ,880 , 1200,"Children estimates were not available at the time of publication.",1200 ,960 , 1400,"Children estimates were not available at the time of publication.",1300 ,1100 , 1500,"Children estimates were not available at the time of publication.",1400 ,1200 , 1700,"Children estimates were not available at the time of publication.",1600 ,1300 , 1900,"Children estimates were not available at the time of publication.",1700 ,1400 , 2100,"Children estimates were not available at the time of publication.",1800 ,1500 , 2300,"Children estimates were not available at the time of publication.",2000 ,1600 , 2400,"Children estimates were not available at the time of publication.",2100 ,1700 , 2600,"Children estimates were not available at the time of publication.",2300 ,1800 , 2800,"Children estimates were not available at the time of publication.",2400 ,1900 , 3000,"Children estimates were not available at the time of publication.",2600 ,2000 , 3100,"Children estimates were not available at the time of publication.",2700 ,2100 , 3300,"Children estimates were not available at the time of publication.",2800 ,2200 , 3400,"Children estimates were not available at the time of publication.",2900 ,2300 , 3500,"Children estimates were not available at the time of publication.",3000 ,2400 , 3700,"Children estimates were not available at the time of publication.",3100 ,2500 , 3800,"Children estimates were not available at the time of publication.",3200 ,2500 , 3800,"Children estimates were not available at the time of publication.",3300 ,2600 , 3900,"Children estimates were not available at the time of publication.",3300 ,2600 , 4000,"Children estimates were not available at the time of publication.",3400 ,2700 , 4000,"Children estimates were not available at the time of publication.",3400 ,2700 , 4000,"Children estimates were not available at the time of publication.",3500 ,2700 , 4100,"Children estimates were not available at the time of publication.",3500 ,2800 , 4100,"Children estimates were not available at the time of publication.",3500 ,2800 , 4200,"Children estimates were not available at the time of publication."
